algorithm,layer,utility,mean_violation,cvar,power_violation
wideband_pgd,5,-20749256.0,202864.234375,2213288.0,0.0
wideband_pgd,6,-20926244.0,204693.140625,2231982.5,0.0
wideband_pgd,7,-20884876.0,204363.640625,2227429.25,0.0
wideband_pgd,8,-20896540.0,204524.296875,2228586.0,0.0
wideband_pgd,9,-20894372.0,204532.859375,2228298.75,0.0
wideband_pgd,10,-20895372.0,204561.0,2228371.0,0.0
scenario_adaptive_unfolded,1,-9617.1875,998.99365234375,6790.390625,2.554484801464696e-08
scenario_adaptive_unfolded,2,-92685.8203125,660.0556030273438,6377.1455078125,0.0
scenario_adaptive_unfolded,3,-2067.489990234375,660.0473022460938,6377.04931640625,0.0
scenario_adaptive_unfolded,4,-49991.82421875,596.0138549804688,5727.53173828125,0.0
scenario_adaptive_unfolded,5,-75741.3671875,668.218994140625,7938.419921875,0.0
scenario_adaptive_unfolded,6,-2014.6446533203125,157.3671112060547,1653.43798828125,0.0
scenario_adaptive_unfolded,7,-356.7447509765625,5.050844192504883,53.660865783691406,0.0
scenario_adaptive_unfolded,8,-20.29787826538086,0.4779978096485138,5.034581661224365,0.0
risk_neutral_pgd,1,23.99150848388672,330611.5,3951500.5,2.838316426334586e-08
risk_neutral_pgd,2,45.71269226074219,300978.3125,3599161.0,0.0
risk_neutral_pgd,3,48.48482131958008,349246.5625,4178459.0,0.0
risk_neutral_pgd,4,51.727352142333984,280739.625,3357242.0,0.0
risk_neutral_pgd,5,51.64643478393555,278921.46875,3336065.0,0.0
risk_neutral_pgd,6,53.551300048828125,237273.625,2836264.25,0.0
risk_neutral_pgd,7,51.704376220703125,359442.75,4303329.0,0.0
risk_neutral_pgd,8,54.96732711791992,286245.15625,3424421.25,0.0
risk_neutral_pgd,9,53.19528579711914,246068.265625,2942631.75,0.0
risk_neutral_pgd,10,52.7715950012207,273323.03125,3269071.75,0.0
wideband_pgd,1,-55313.0859375,914.16845703125,5202.7275390625,2.2706531765948057e-08
wideband_pgd,2,-7313993.0,72037.34375,779182.375,0.0
wideband_pgd,3,-4618896.0,44994.25,493000.8125,0.0
wideband_pgd,4,-5326204.0,51855.71484375,568548.75,0.0
wideband_pgd,5,-5168517.0,50364.76953125,551633.1875,0.0
wideband_pgd,6,-5214357.0,50839.26953125,556473.4375,0.0
wideband_pgd,7,-5204817.0,50765.42578125,555419.125,0.0
wideband_pgd,8,-5207850.0,50806.1875,555722.0625,0.0
wideband_pgd,9,-5207344.5,50807.90234375,555655.625,0.0
wideband_pgd,10,-5207590.0,50814.10546875,555674.6875,0.0
scenario_adaptive_unfolded,1,-7381.12158203125,914.16845703125,5202.7275390625,2.2706531765948057e-08
scenario_adaptive_unfolded,2,-47671.171875,513.5655517578125,3253.0888671875,0.0
scenario_adaptive_unfolded,3,-1102.734375,513.5609741210938,3253.036865234375,0.0
scenario_adaptive_unfolded,4,-27138.783203125,483.4953308105469,2952.068115234375,0.0
scenario_adaptive_unfolded,5,-4602.5458984375,52.382965087890625,450.71142578125,0.0
