algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max,repair_selective_iters_mean,repair_alpha_mean,repair_alpha_min,repair_global_used_fraction,repair_global_scale_mean,repair_worst_excess_mean,recovery_safe_fraction_mean,recovery_eta_mean,recovery_eta_min,recovery_global_rescue_fraction,recovery_global_scale_mean,recovery_worst_excess_mean
budgeted_primal_dual_pgd_repair,7,-2083241.875,69672.6484375,833175.4375,0.0,6.724987506866455,17.716684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,8,-2265909.0,75713.7265625,906221.0,0.0,7.599987506866455,19.466684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,9,-2231311.25,74552.140625,892380.875,0.0,8.397677421569824,19.361230850219727,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,10,-2245326.0,75009.96875,897948.125,0.0,9.272676467895508,21.111230850219727,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,11,-2698878.0,75134.109375,899475.1875,0.0,12.693619728088379,27.11444091796875,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,12,-3354828.0,93192.84375,1118059.5,0.0,16.128820419311523,34.61444091796875,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,13,-3257828.0,90550.0,1085772.625,0.0,18.24260139465332,41.66676330566406,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,14,-3307282.75,102656.0,1102070.75,0.0,21.99260139465332,49.16676330566406,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,1,-53994.3515625,2133.536865234375,21593.77734375,1.9868215517249155e-08,1.4790587425231934,7.216684341430664,10.0,0.8527178764343262,0.019999999552965164,1.0,0.00020028339349664748,-0.005000084638595581,0.5,0.6492919921875,0.29864501953125,0.0,1.0,-0.0030007362365722656
budgeted_primal_dual_pgd_repair_recover,2,-2459238.0,82296.0390625,983673.875,0.0,2.349987268447876,8.966684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,3,-1976930.375,66220.4921875,790732.125,0.0,3.224987268447876,10.716684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,4,-2079229.0,69620.7734375,831631.6875,0.0,4.099987506866455,12.466684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,5,-2075592.25,69491.8125,830156.8125,0.0,4.974987030029297,14.216684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,6,-2080645.5,69633.2265625,832157.875,0.0,5.849987030029297,15.966684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,7,-2083241.875,69672.6484375,833175.4375,0.0,6.724987506866455,17.716684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,8,-2265909.0,75713.7265625,906221.0,0.0,7.599987506866455,19.466684341430664,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,9,-2231311.25,74552.140625,892380.875,0.0,8.397677421569824,19.361230850219727,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,10,-2245326.0,75009.96875,897948.125,0.0,9.272676467895508,21.111230850219727,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,11,-2698878.0,75134.109375,899475.1875,0.0,12.693619728088379,27.11444091796875,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,12,-3354828.0,93192.84375,1118059.5,0.0,16.128820419311523,34.61444091796875,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,13,-3257828.0,90550.0,1085772.625,0.0,18.24260139465332,41.66676330566406,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,14,-3307282.75,102656.0,1102070.75,0.0,21.99260139465332,49.16676330566406,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,1,-118541.96875,2133.536865234375,21593.77734375,1.9868215517249155e-08,0.06874939799308777,0.6566757559776306,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,2,-5270.45947265625,729.8889770507812,6036.33544921875,0.0,0.07875531166791916,0.6791202425956726,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,3,-13213832.0,98620.4609375,1182895.25,0.0,6.6901631355285645,18.256664276123047,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,4,-381.40869140625,4039.882080078125,48107.828125,0.0,7.817746639251709,20.99307632446289,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,5,-2367.500732421875,119.81482696533203,1366.3951416015625,0.0,7.8180975914001465,20.992916107177734,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,6,-8275.6875,614.7974243164062,7325.28125,0.0,11.756573677062988,40.373802185058594,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,7,-456.1317138671875,13.6049165725708,125.52890014648438,0.0,15.679389953613281,60.147216796875,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,8,-487.0572509765625,1.8723207712173462,13.419061660766602,0.0,15.681885719299316,60.14511489868164,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,9,-571.978759765625,1.7699579000473022,13.270082473754883,0.0,15.715797424316406,60.09501266479492,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,10,-407.80889892578125,1.1170177459716797,8.361387252807617,0.0,15.715930938720703,60.09518814086914,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,1,-118541.96875,2133.536865234375,21593.77734375,1.9868215517249155e-08,0.06874939799308777,0.6566757559776306,10.0,0.8608952164649963,0.019999999552965164,1.0,0.0001814463612390682,-0.005000084638595581,0.5,0.522247314453125,0.0445556640625,0.0,1.0,-0.0031096041202545166
rate_recovered_primal_dual_unfolded,2,-5270.45947265625,729.8889770507812,6036.33544921875,0.0,0.07875531166791916,0.6791202425956726,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,3,-13213832.0,98620.4609375,1182895.25,0.0,6.6901631355285645,18.256664276123047,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,4,-381.40869140625,4039.882080078125,48107.828125,0.0,7.817746639251709,20.99307632446289,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,5,-2367.500732421875,119.81482696533203,1366.3951416015625,0.0,7.8180975914001465,20.992916107177734,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,6,-8275.6875,614.7974243164062,7325.28125,0.0,11.756573677062988,40.373802185058594,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,7,-456.1317138671875,13.6049165725708,125.52890014648438,0.0,15.679389953613281,60.147216796875,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,8,-487.0572509765625,1.8723207712173462,13.419061660766602,0.0,15.681885719299316,60.14511489868164,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,9,-571.978759765625,1.7699579000473022,13.270082473754883,0.0,15.715797424316406,60.09501266479492,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,10,-407.80889892578125,1.1170177459716797,8.361387252807617,0.0,15.715930938720703,60.09518814086914,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,11,-408.16094970703125,1.7748476266860962,19.000652313232422,0.0,16.426517486572266,64.80039978027344,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,12,-1917624.375,73413.1328125,638888.9375,0.0,19.59326171875,72.30039978027344,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,13,-1649879.5,47330.83984375,549577.375,0.0,22.683923721313477,79.80039978027344,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,14,-1709936.5,47815.921875,569545.6875,0.0,25.769088745117188,87.30039978027344,,,,,,,,,,,,
risk_neutral_pgd,1,28.296045303344727,2341.4951171875,21927.478515625,1.419158213167293e-08,,,,,,,,,,,,,,
risk_neutral_pgd,2,51.58003234863281,3309.0,33901.1796875,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,3,55.419647216796875,2604.909423828125,25034.158203125,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,4,57.42131423950195,2163.1982421875,20474.794921875,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,5,59.13663101196289,2101.759765625,19993.888671875,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,6,60.85135269165039,6399.43603515625,71769.640625,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,7,58.64970016479492,4797.4697265625,52156.0859375,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,8,60.806884765625,3425.733154296875,35017.30078125,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,9,59.44724655151367,2629.181884765625,25964.306640625,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,10,59.8535041809082,2946.350830078125,30196.7578125,0.0,,,,,,,,,,,,,,
wideband_pgd,1,-21693.62109375,380.1712341308594,2001.8817138671875,3.12214822884016e-08,,,,,,,,,,,,,,
wideband_pgd,2,-3528087.75,37860.2890625,370026.40625,0.0,,,,,,,,,,,,,,
wideband_pgd,3,-2203793.0,24089.337890625,230310.171875,0.0,,,,,,,,,,,,,,
wideband_pgd,4,-2523067.0,27558.294921875,263714.71875,0.0,,,,,,,,,,,,,,
wideband_pgd,5,-2444356.75,26745.375,255400.015625,0.0,,,,,,,,,,,,,,
wideband_pgd,6,-2464500.75,26967.244140625,257502.21875,0.0,,,,,,,,,,,,,,
wideband_pgd,7,-2459585.0,26917.357421875,256981.015625,0.0,,,,,,,,,,,,,,
wideband_pgd,8,-2460845.5,26931.53125,257112.171875,0.0,,,,,,,,,,,,,,
wideband_pgd,9,-2460540.0,26928.490234375,257079.6875,0.0,,,,,,,,,,,,,,
wideband_pgd,10,-2460618.5,26929.240234375,257088.0625,0.0,,,,,,,,,,,,,,
budgeted_primal_dual_pgd,1,-4987.462890625,380.1712341308594,2001.8817138671875,3.12214822884016e-08,1.3728793859481812,5.751807689666748,,,,,,,,,,,,
budgeted_primal_dual_pgd,2,-1215408.375,40646.82421875,486153.59375,0.0,2.145796060562134,5.66845703125,,,,,,,,,,,,
